name,role
Ali Raza,Police Officer
Imran Ahmed,Investigation Officer
Hina Akhtar,Investigation Officer
Hassan Latif,Police Officer
Kashif Baig,Police Officer
Usman Qureshi,Superintendent
Omar Butt,Superintendent
Fatima Latif,Police Officer
Fatima Butt,Superintendent
Ali Mirza,Investigation Officer
Zainab Shah,SHO
Imran Abbasi,Police Officer
Ahmed Hussain,Investigation Officer
Omar Ahmed,Police Officer
Nadia Chaudhary,Superintendent
Ayesha Chaudhary,Police Officer
Hina Abbasi,Investigation Officer
Hina Ansari,SHO
Iqra Mirza,SHO
Ayesha Ansari,SHO
Ayesha Siddiqui,Investigation Officer
Bilal Shah,SHO
Iqra Shah,SHO
Bilal Mirza,SHO
Sara Ansari,Investigation Officer
Sara Shah,Investigation Officer
Nadia Latif,Police Officer
Sana Khan,SHO
Zainab Sheikh,Police Officer
Usman Chaudhary,SHO
Ayesha Ahmed,Investigation Officer
Tariq Mirza,Superintendent
Mariam Siddiqui,SHO
Mariam Ahmed,Superintendent
Rizwan Abbasi,Investigation Officer
Sara Chaudhary,Superintendent
Omar Mirza,SHO
Imran Latif,Investigation Officer
Rizwan Ansari,Superintendent
Tariq Akhtar,Superintendent
Rizwan Shah,Superintendent
Mariam Qureshi,SHO
Hina Sheikh,SHO
Usman Mirza,Investigation Officer
Zainab Javed,Police Officer
Ayesha Malik,Investigation Officer
Hassan Khan,Investigation Officer
Imran Chaudhary,Investigation Officer
Sara Nawaz,SHO
Usman Shah,Investigation Officer
Hassan Qureshi,Superintendent
Ali Javed,Superintendent
Rizwan Chaudhary,SHO
Tariq Hussain,SHO
Ali Butt,Police Officer
Ahmed Baig,Superintendent
Imran Hussain,Superintendent
Ayesha Sheikh,Police Officer
Sara Latif,Investigation Officer
Mehwish Sheikh,Superintendent
Bilal Qureshi,Investigation Officer
Sana Nawaz,Investigation Officer
Zainab Mirza,Police Officer
Ayesha Baig,Superintendent
Zainab Akhtar,Investigation Officer
Mariam Farooq,Superintendent
Hina Ahmed,Police Officer
Usman Javed,Investigation Officer
Ahmed Raza,Investigation Officer
Sana Hussain,SHO
Tariq Ahmed,Police Officer
Nadia Abbasi,Investigation Officer
Ayesha Shah,SHO
Bilal Hussain,Investigation Officer
Hassan Hussain,Superintendent
Mehwish Shah,Police Officer
Iqra Abbasi,Superintendent
Imran Baig,Investigation Officer
Bilal Javed,Superintendent
Ahmed Malik,SHO
Iqra Nawaz,SHO
Iqra Sheikh,SHO
Hina Nawaz,SHO
Tariq Latif,Superintendent
Omar Akhtar,SHO
Kashif Shah,Investigation Officer
Fatima Shah,Superintendent
Nadia Sheikh,Superintendent
Sana Qureshi,Investigation Officer
Fatima Ahmed,Investigation Officer
Hassan Baig,Superintendent
Kashif Ansari,Investigation Officer
Fatima Akhtar,Superintendent
Imran Ansari,Police Officer
Tariq Khan,SHO
Fatima Chaudhary,Superintendent
Hassan Javed,Superintendent
Ayesha Farooq,Investigation Officer
Kashif Ahmed,Police Officer
Fatima Siddiqui,Investigation Officer
